bun install v1.3.14 (0d9b296a)
   - "@tailwindcss/postcss": "^4" - @tailwindcss/postcss@4.3.3
   - "@types/node": "^20" - @types/node@20.19.43
   - "@types/react": "^19" - @types/react@19.2.18
   - "@types/react-dom": "^19" - @types/react-dom@19.2.4
   - "eslint": "^9" - eslint@9.39.5
   - "eslint-config-next": "16.3.0" - eslint-config-next@16.3.0
   - "tailwindcss": "^4" - tailwindcss@4.3.3
   - "typescript": "^5" - typescript@5.9.3
   - "next": "16.3.0" - next@16.3.0
   - "react": "19.2.8" - react@19.2.8
   - "react-dom": "19.2.8" - react-dom@19.2.8
   - "postcss": "^8.5.16" - postcss@8.5.25
   - "@alloc/quick-lru": "^5.2.0" - @alloc/quick-lru@5.2.0
   - "@tailwindcss/node": "4.3.3" - @tailwindcss/node@4.3.3
   - "@tailwindcss/oxide": "4.3.3" - @tailwindcss/oxide@4.3.3
   - "undici-types": "~6.21.0" - undici-types@6.21.0
   - "csstype": "^3.2.2" - csstype@3.2.3
   - "ajv": "^6.14.0" - ajv@6.15.0
   - "chalk": "^4.0.0" - chalk@4.1.2
   - "debug": "^4.3.2" - debug@4.4.3
   - "espree": "^10.4.0" - espree@10.4.0
   - "ignore": "^5.2.0" - ignore@5.3.2
   - "esquery": "^1.5.0" - esquery@1.7.0
   - "esutils": "^2.0.2" - esutils@2.0.3
   - "find-up": "^5.0.0" - find-up@5.0.0
   - "is-glob": "^4.0.0" - is-glob@4.0.3
   - "minimatch": "^3.1.5" - minimatch@3.1.5
   - "@eslint/js": "9.39.5" - @eslint/js@9.39.5
   - "optionator": "^0.9.3" - optionator@0.9.4
   - "cross-spawn": "^7.0.6" - cross-spawn@7.0.6
   - "glob-parent": "^6.0.2" - glob-parent@6.0.2
   - "imurmurhash": "^0.1.4" - imurmurhash@0.1.4
   - "@eslint/core": "^0.17.0" - @eslint/core@0.17.0
   - "eslint-scope": "^8.4.0" - eslint-scope@8.4.0
   - "lodash.merge": "^4.6.2" - lodash.merge@4.6.2
   - "@humanfs/node": "^0.16.6" - @humanfs/node@0.16.8
   - "@types/estree": "^1.0.6" - @types/estree@1.0.9
   - "fast-deep-equal": "^3.1.3" - fast-deep-equal@3.1.3
   - "natural-compare": "^1.4.0" - natural-compare@1.4.0
   - "@eslint/eslintrc": "^3.3.6" - @eslint/eslintrc@3.3.6
   - "file-entry-cache": "^8.0.0" - file-entry-cache@8.0.0
   - "@eslint/plugin-kit": "^0.4.1" - @eslint/plugin-kit@0.4.1
   - "eslint-visitor-keys": "^4.2.1" - eslint-visitor-keys@4.2.1
   - "@eslint/config-array": "^0.21.2" - @eslint/config-array@0.21.2
   - "@humanwhocodes/retry": "^0.4.2" - @humanwhocodes/retry@0.4.3
   - "escape-string-regexp": "^4.0.0" - escape-string-regexp@4.0.0
   - "@eslint/config-helpers": "^0.4.2" - @eslint/config-helpers@0.4.2
   - "@eslint-community/regexpp": "^4.12.1" - @eslint-community/regexpp@4.12.2
   - "@eslint-community/eslint-utils": "^4.8.0" - @eslint-community/eslint-utils@4.10.1
   - "@humanwhocodes/module-importer": "^1.0.1" - @humanwhocodes/module-importer@1.0.1
   - "json-stable-stringify-without-jsonify": "^1.0.1" - json-stable-stringify-without-jsonify@1.0.1
   - "globals": "16.4.0" - globals@16.4.0
   - "typescript-eslint": "^8.46.0" - typescript-eslint@8.66.0
   - "eslint-plugin-react": "^7.37.0" - eslint-plugin-react@7.37.5
   - "eslint-plugin-import": "^2.32.0" - eslint-plugin-import@2.32.0
   - "eslint-plugin-jsx-a11y": "^6.10.0" - eslint-plugin-jsx-a11y@6.10.2
   - "@next/eslint-plugin-next": "16.3.0" - @next/eslint-plugin-next@16.3.0
   - "eslint-plugin-react-hooks": "^7.0.0" - eslint-plugin-react-hooks@7.1.1
   - "eslint-import-resolver-node": "^0.3.6" - eslint-import-resolver-node@0.3.10
   - "eslint-import-resolver-typescript": "^3.5.2" - eslint-import-resolver-typescript@3.10.1
   - "postcss": "8.5.23" - postcss@8.5.23
   - "@next/env": "16.3.0" - @next/env@16.3.0
   - "styled-jsx": "5.1.6" - styled-jsx@5.1.6
   - "@swc/helpers": "0.5.15" - @swc/helpers@0.5.15
   - "caniuse-lite": "^1.0.30001579" - caniuse-lite@1.0.30001806
   - "baseline-browser-mapping": "^2.9.19" - baseline-browser-mapping@2.11.12
   - "sharp": "^0.35.3" - sharp@0.35.3
   - "@next/swc-darwin-x64": "16.3.0" - @next/swc-darwin-x64@16.3.0
   - "@next/swc-darwin-arm64": "16.3.0" - @next/swc-darwin-arm64@16.3.0
   - "@next/swc-linux-x64-gnu": "16.3.0" - @next/swc-linux-x64-gnu@16.3.0
   - "@next/swc-linux-x64-musl": "16.3.0" - @next/swc-linux-x64-musl@16.3.0
   - "@next/swc-win32-x64-msvc": "16.3.0" - @next/swc-win32-x64-msvc@16.3.0
   - "@next/swc-linux-arm64-gnu": "16.3.0" - @next/swc-linux-arm64-gnu@16.3.0
   - "@next/swc-linux-arm64-musl": "16.3.0" - @next/swc-linux-arm64-musl@16.3.0
   - "@next/swc-win32-arm64-msvc": "16.3.0" - @next/swc-win32-arm64-msvc@16.3.0
   - "scheduler": "^0.27.0" - scheduler@0.27.0
   - "nanoid": "^3.3.16" - nanoid@3.3.17
   - "picocolors": "^1.1.1" - picocolors@1.1.1
   - "source-map-js": "^1.2.1" - source-map-js@1.2.1
   - "jiti": "^2.7.0" - jiti@2.7.0
   - "lightningcss": "1.32.0" - lightningcss@1.32.0
   - "magic-string": "^0.30.21" - magic-string@0.30.21
   - "enhanced-resolve": "^5.24.1" - enhanced-resolve@5.24.5
   - "@jridgewell/remapping": "^2.3.5" - @jridgewell/remapping@2.3.5
   - "@tailwindcss/oxide-darwin-x64": "4.3.3" - @tailwindcss/oxide-darwin-x64@4.3.3
   - "@tailwindcss/oxide-freebsd-x64": "4.3.3" - @tailwindcss/oxide-freebsd-x64@4.3.3
   - "@tailwindcss/oxide-wasm32-wasi": "4.3.3" - @tailwindcss/oxide-wasm32-wasi@4.3.3
   - "@tailwindcss/oxide-darwin-arm64": "4.3.3" - @tailwindcss/oxide-darwin-arm64@4.3.3
   - "@tailwindcss/oxide-android-arm64": "4.3.3" - @tailwindcss/oxide-android-arm64@4.3.3
   - "@tailwindcss/oxide-linux-x64-gnu": "4.3.3" - @tailwindcss/oxide-linux-x64-gnu@4.3.3
   - "@tailwindcss/oxide-linux-x64-musl": "4.3.3" - @tailwindcss/oxide-linux-x64-musl@4.3.3
   - "@tailwindcss/oxide-win32-x64-msvc": "4.3.3" - @tailwindcss/oxide-win32-x64-msvc@4.3.3
   - "@tailwindcss/oxide-linux-arm64-gnu": "4.3.3" - @tailwindcss/oxide-linux-arm64-gnu@4.3.3
   - "@tailwindcss/oxide-linux-arm64-musl": "4.3.3" - @tailwindcss/oxide-linux-arm64-musl@4.3.3
   - "@tailwindcss/oxide-win32-arm64-msvc": "4.3.3" - @tailwindcss/oxide-win32-arm64-msvc@4.3.3
   - "@tailwindcss/oxide-linux-arm-gnueabihf": "4.3.3" - @tailwindcss/oxide-linux-arm-gnueabihf@4.3.3
   - "uri-js": "^4.2.2" - uri-js@4.4.1
   - "json-schema-traverse": "^0.4.1" - json-schema-traverse@0.4.1
   - "fast-json-stable-stringify": "^2.0.0" - fast-json-stable-stringify@2.1.0
   - "ansi-styles": "^4.1.0" - ansi-styles@4.3.0
   - "supports-color": "^7.1.0" - supports-color@7.2.0
   - "ms": "^2.1.3" - ms@2.1.3
   - "acorn": "^8.15.0" - acorn@8.18.0
   - "acorn-jsx": "^5.3.2" - acorn-jsx@5.3.2
   - "estraverse": "^5.1.0" - estraverse@5.3.0
   - "locate-path": "^6.0.0" - locate-path@6.0.0
   - "path-exists": "^4.0.0" - path-exists@4.0.0
   - "is-extglob": "^2.1.1" - is-extglob@2.1.1
   - "brace-expansion": "^1.1.7" - brace-expansion@1.1.18
   - "prelude-ls": "^1.2.1" - prelude-ls@1.2.1
   - "deep-is": "^0.1.3" - deep-is@0.1.4
   - "word-wrap": "^1.2.5" - word-wrap@1.2.5
   - "type-check": "^0.4.0" - type-check@0.4.0
   - "levn": "^0.4.1" - levn@0.4.1
   - "fast-levenshtein": "^2.0.6" - fast-levenshtein@2.0.6
   - "which": "^2.0.1" - which@2.0.2
   - "path-key": "^3.1.0" - path-key@3.1.1
   - "shebang-command": "^2.0.0" - shebang-command@2.0.0
   - "@types/json-schema": "^7.0.15" - @types/json-schema@7.0.15
   - "esrecurse": "^4.3.0" - esrecurse@4.3.0
   - "@humanfs/core": "^0.19.2" - @humanfs/core@0.19.2
   - "@humanfs/types": "^0.15.0" - @humanfs/types@0.15.0
   - "globals": "^14.0.0" - globals@14.0.0
   - "import-fresh": "^3.2.1" - import-fresh@3.3.1
   - "js-yaml": "^4.3.0" - js-yaml@4.3.1
   - "strip-json-comments": "^3.1.1" - strip-json-comments@3.1.1
   - "flat-cache": "^4.0.0" - flat-cache@4.0.1
   - "@eslint/object-schema": "^2.1.7" - @eslint/object-schema@2.1.7
   - "eslint-visitor-keys": "^3.4.3" - eslint-visitor-keys@3.4.3
   - "@typescript-eslint/utils": "8.66.0" - @typescript-eslint/utils@8.66.0
   - "@typescript-eslint/parser": "8.66.0" - @typescript-eslint/parser@8.66.0
   - "@typescript-eslint/eslint-plugin": "8.66.0" - @typescript-eslint/eslint-plugin@8.66.0
   - "@typescript-eslint/typescript-estree": "8.66.0" - @typescript-eslint/typescript-estree@8.66.0
   - "array-includes": "^3.1.8" - array-includes@3.1.9
   - "array.prototype.findlast": "^1.2.5" - array.prototype.findlast@1.2.5
   - "array.prototype.flatmap": "^1.3.3" - array.prototype.flatmap@1.3.3
   - "array.prototype.tosorted": "^1.1.4" - array.prototype.tosorted@1.1.4
   - "doctrine": "^2.1.0" - doctrine@2.1.0
   - "es-iterator-helpers": "^1.2.1" - es-iterator-helpers@1.4.0
   - "hasown": "^2.0.2" - hasown@2.0.4
   - "jsx-ast-utils": "^2.4.1 || ^3.0.0" - jsx-ast-utils@3.3.5
   - "object.entries": "^1.1.9" - object.entries@1.1.9
   - "object.fromentries": "^2.0.8" - object.fromentries@2.0.8
   - "object.values": "^1.2.1" - object.values@1.2.1
   - "prop-types": "^15.8.1" - prop-types@15.8.1
   - "resolve": "^2.0.0-next.5" - resolve@2.0.0-next.7
   - "semver": "^6.3.1" - semver@6.3.1
   - "string.prototype.matchall": "^4.0.12" - string.prototype.matchall@4.0.12
   - "string.prototype.repeat": "^1.0.0" - string.prototype.repeat@1.0.0
   - "@rtsao/scc": "^1.1.0" - @rtsao/scc@1.1.0
   - "array.prototype.findlastindex": "^1.2.6" - array.prototype.findlastindex@1.2.6
   - "array.prototype.flat": "^1.3.3" - array.prototype.flat@1.3.3
   - "debug": "^3.2.7" - debug@3.2.7
   - "eslint-module-utils": "^2.12.1" - eslint-module-utils@2.14.0
   - "is-core-module": "^2.16.1" - is-core-module@2.16.2
   - "object.groupby": "^1.0.3" - object.groupby@1.0.3
   - "string.prototype.trimend": "^1.0.9" - string.prototype.trimend@1.0.10
   - "tsconfig-paths": "^3.15.0" - tsconfig-paths@3.15.0
   - "aria-query": "^5.3.2" - aria-query@5.3.2
   - "ast-types-flow": "^0.0.8" - ast-types-flow@0.0.8
   - "axe-core": "^4.10.0" - axe-core@4.12.1
   - "axobject-query": "^4.1.0" - axobject-query@4.1.0
   - "damerau-levenshtein": "^1.0.8" - damerau-levenshtein@1.0.8
   - "emoji-regex": "^9.2.2" - emoji-regex@9.2.2
   - "language-tags": "^1.0.9" - language-tags@1.0.9
   - "safe-regex-test": "^1.0.3" - safe-regex-test@1.1.0
   - "string.prototype.includes": "^2.0.1" - string.prototype.includes@2.0.1
   - "fast-glob": "3.3.1" - fast-glob@3.3.1
   - "@eslint-community/eslint-utils": "4.9.1" - @eslint-community/eslint-utils@4.9.1
   - "zod": "^3.25.0 || ^4.0.0" - zod@4.4.3
   - "@babel/core": "^7.24.4" - @babel/core@7.29.7
   - "@babel/parser": "^7.24.4" - @babel/parser@7.29.8
   - "hermes-parser": "^0.25.1" - hermes-parser@0.25.1
   - "zod-validation-error": "^3.5.0 || ^4.0.0" - zod-validation-error@4.0.2
   - "tinyglobby": "^0.2.13" - tinyglobby@0.2.17
   - "stable-hash": "^0.0.5" - stable-hash@0.0.5
   - "get-tsconfig": "^4.10.0" - get-tsconfig@4.14.1
   - "is-bun-module": "^2.0.0" - is-bun-module@2.0.0
   - "unrs-resolver": "^1.6.2" - unrs-resolver@1.12.2
   - "@nolyfill/is-core-module": "1.0.39" - @nolyfill/is-core-module@1.0.39
   - "client-only": "0.0.1" - client-only@0.0.1
   - "tslib": "^2.8.0" - tslib@2.8.1
   - "@img/colour": "^1.1.0" - @img/colour@1.1.0
   - "detect-libc": "^2.1.2" - detect-libc@2.1.2
   - "semver": "^7.8.5" - semver@7.8.5
   - "@img/sharp-darwin-arm64": "0.35.3" - @img/sharp-darwin-arm64@0.35.3
